,id,username,text,created_at,date,retweets,hashtags,geo,polarity,subjectivity
88,1235306467521159171,WilliamMacFly,"Corona virus is said to affect the elders more SEVER! I'm worried about the USA presidential candidates health. They are at a high risk, especially while campaign.",2020-03-04 20:49:47+00:00,2020-03-04,0,,,0.2333333333333333,0.42333333333333334
89,1235306270443307009,bemyIastheaven,what if corona cancelled ur usa tour,2020-03-04 20:49:00+00:00,2020-03-04,0,,,0.0,0.0
90,1235306158010830849,NgendahayoSamso,Corona virus is made by USA to disturb the economy of CHINE thrn finally Americans are affected.,2020-03-04 20:48:33+00:00,2020-03-04,0,,,0.0,1.0
91,1235305880045998082,Hasi45495637,"Er meint das seit es den Covid-19 AKA Corona Virus in den Medien hört, man nichts mehr von dem Konflikt zwischen den USA und Iran hört.",2020-03-04 20:47:27+00:00,2020-03-04,0,,,0.0,0.0
92,1235305610549366786,jonas_skold,Lek med tanken att någon i staben till en av presidentkandidaterna i USA är smittad. Det blir en effektiv spridning. Staben åker från valmöte till valmöte i de olika staternas primärval. Stora folksamlingar över hela landet. #Corona #coronavirus #hoax,2020-03-04 20:46:23+00:00,2020-03-04,0,#Corona #coronavirus #hoax,,0.0,0.0
93,1235305526537441280,teamblu50691002,"Dow jumps as investors weigh Biden resurgence, efforts to guard economies against coronavirus - USA TODAY Congrats to #JoeMentum for bringing the market back! After tRump keeps crashing it ⁦@realDonaldTrump⁩",2020-03-04 20:46:03+00:00,2020-03-04,0,#JoeMentum,,0.0,0.0
94,1235305231556259845,TutankhatonEdit,"ATAC usa il fuoco, ben prima del corona",2020-03-04 20:44:52+00:00,2020-03-04,0,,,0.0,0.0
95,1235305199637598211,luigi_daniele,Sallusti usa il corona virus per tirare fuori la storia del premier non eletto e per lodare la gestione Berlusconi della vicenda de L’Aquila. Ma ti prego. #LAssedio,2020-03-04 20:44:45+00:00,2020-03-04,0,#LAssedio,,0.0,0.0
96,1235305120763609089,MtnConservative,Here's what the number 1 respiratory hospital in the USA says to combat the Corona Virus outbreak. Sounds a lot like what to do with a flu outbreak. ,2020-03-04 20:44:26+00:00,2020-03-04,0,,,0.0,0.0
97,1235304863342497799,futureofinfo,Video of Bush Jr. talking about quarantining parts of America https://youtu.be/NF_qy15z7jA #BernieOrBust2020 #CoronaAlert #Corona #usa #martiallaw #wtfu,2020-03-04 20:43:24+00:00,2020-03-04,0,#BernieOrBust2020 #CoronaAlert #Corona #usa #martiallaw #wtfu,,0.0,0.0
